Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ZombieINC_ND_FindGoodSpotMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] Great ! Let's find some good spot to plant this Timed Charge, I will need to walk around to see if I find something.",,,,,,,,,,,,,| [FF6600]玩家心聲：[-]太棒了！讓我們找一些好地方來種植這個定時炸彈，我需要四處走走看看是否能找到什麼東西。
ZombieINC_ND_IdealLocationMessage,gameevents,,,X,| [FF6600]Player's Mind:[-] Seems like this is a ideal location to plant the Timed Charge,,,,,,,,,,,,,| [FF6600]玩家的想法：[-]看來這是放置定時炸彈的理想位置
ZombieINC_ND_IdealLocationBeltTooltip,gameevents,,,X,Ideal Location Reached,,,,,,,,,,,,,達到理想位置
ZombieINC_ND_ReturnMiniBikeBeltTooltip,gameevents,,,X,Return The Vehicle to the Trader,,,,,,,,,,,,,將車輛歸還給交易者
ZombieINC_ND_ReturnMiniBikeMessage,gameevents,,,X,| [FF6600]Player's Mind:[-] Now I Just need to bring back this minibike to the trader,,,,,,,,,,,,,| [FF6600]玩家的想法：[-]現在我只需要將這輛迷你自行車帶回給商人
ZombieINC_ND_ChatMessage_VehicleReturned,gameevents,,,X,"| [FF6600]GAME:[-] Vehicle Returned, the mission is done!",,,,,,,,,,,,,| [FF6600]遊戲：[-]車輛歸還，任務完成！
ZombieINC_ND_BeltTooltip_VehicleReturned,gameevents,,,X,Vehicle Returned,,,,,,,,,,,,,車輛歸還
ZombieINC_vehicle4x4TruckBomberPlaceable,items,item,,x,Quest's Vehicle,,,,,,,,,,,,,Quest 的車輛
ZombieINC_thrownTimedCharge_Small_ND,items,item,,x,Quest's Small Timed Charge,,,,,,,,,,,,,Quest 的小型定時充電
ZombieINC_thrownTimedCharge_Medium_ND,items,item,,x,Quest's Medium Timed Charge,,,,,,,,,,,,,Quest 的中型定時衝鋒
ZombieINC_challenge_tier1_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,,拆除巢穴 ( [DECEA3] {poi.distance} {poi.direction} [-] )
ZombieINC_challenge_tier2_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,,拆除巢穴 ( [DECEA3] {poi.distance} {poi.direction} [-] )
ZombieINC_challenge_tier3_NestDemolition_offer,Quests,Quest Info,,x,"It looks like a zombie nest has appeared at [DECEA3]{poi.name}[-]. We need someone or a team to handle this problem. We're providing a minibike loaded with explosives for this mission. Remember, if you take this job, bring the minibike back in one piece, or don't bother coming back at all.",,,,,,,,,,,,,[DECEA3] {poi.name} [-] 處似乎出現了殭屍巢穴。我們需要有人或團隊來處理這個問題。我們為這次任務提供了一輛裝有炸藥的迷你自行車。請記住，如果您接受這份工作，請將迷你自行車整塊帶回來，或者根本不用費心回來。
ZombieINC_challenge_tier3_NestDemolition_completion,Quests,Quest Info,,x,"Well, the nest is destroyed and the minibike is working so far. Here take your reward.",,,,,,,,,,,,,好吧，巢穴被摧毀了，迷你自行車到目前為止還能工作。在這裡領取你的獎勵。
ZombieINC_challenge_tier3_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,,拆除巢穴 ( [DECEA3] {poi.distance} {poi.direction} [-] )
ZombieINC_challenge_tier3_NestDemolition_statement,Quests,Quest Info,,x,Remember to bring back that Minibike once the mission is finished,,,,,,,,,,,,,任務完成後記得帶回那輛迷你自行車
ZombieINC_challenge_tier4_NestDemolition_name,Quests,Quest Info,,x,Tier 4 Nest Demolition,,,,,,,,,,,,,4 級巢穴拆除
ZombieINC_challenge_tier4_NestDemolition_subtitle,Quests,Quest Info,,x,Dirt Work,,,,,,,,,,,,,骯髒的工作
ZombieINC_challenge_tier4_NestDemolition_description,Quests,Quest Info,,x,"Just Like Last Time: Here's the plan. You’ll need to take the minibike to the location with the explosives. When you get there, unload the explosives from the minibike (crouch and stay still to pick them up). This way, you’ll be the team leader if you’re part of a team. As the team leader, only you can find the spots to plant the bombs. Don't forget to bring the minibike back. You won't be able to complete the mission without it.",,,,,,,,,,,,,就像上次一樣：這是計劃。您需要將迷你自行車帶到有爆炸物的位置。當你到達那裡時，從迷你自行車上卸下炸藥（蹲下並保持不動以撿起它們）。這樣，如果您是團隊的一員，您將成為團隊領導者。身為隊長，只有你能找到放置炸彈的地點。別忘了把迷你自行車帶回來。沒有它你將無法完成任務。
ZombieINC_challenge_tier4_NestDemolition_offer,Quests,Quest Info,,x,"It looks like a zombie nest has appeared at [DECEA3]{poi.name}[-]. We need someone or a team to handle this problem. We're providing a minibike loaded with explosives for this mission. Remember, if you take this job, bring the minibike back in one piece, or don't bother coming back at all.",,,,,,,,,,,,,[DECEA3] {poi.name} [-] 處似乎出現了殭屍巢穴。我們需要有人或團隊來處理這個問題。我們為這次任務提供了一輛裝有炸藥的迷你自行車。請記住，如果您接受這份工作，請將迷你自行車整塊帶回來，或者根本不用費心回來。
ZombieINC_challenge_tier4_NestDemolition_completion,Quests,Quest Info,,x,"Well, the nest is destroyed and the minibike is working so far. Here take your reward.",,,,,,,,,,,,,好吧，巢穴被摧毀了，迷你自行車到目前為止還能工作。在這裡領取你的獎勵。
ZombieINC_challenge_tier4_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,,拆除巢穴 ( [DECEA3] {poi.distance} {poi.direction} [-] )
ZombieINC_challenge_tier4_NestDemolition_statement,Quests,Quest Info,,x,Remember to bring back that Minibike once the mission is finished,,,,,,,,,,,,,任務完成後記得帶回那輛迷你自行車
ZombieINC_challenge_tier5_NestDemolition_name,Quests,Quest Info,,x,Tier 5 Nest Demolition,,,,,,,,,,,,,5 級巢穴拆除
ZombieINC_challenge_tier5_NestDemolition_subtitle,Quests,Quest Info,,x,Bigger Explosion,,,,,,,,,,,,,更大的爆炸
ZombieINC_challenge_tier5_NestDemolition_description,Quests,Quest Info,,x,"This time, we’re doing things a little differently. We’ve got something new up our sleeve. Nothing fancy, just highly reactive chemical compounds mixed with explosives. You’ll need to drive a truck loaded with bombs. Once you arrive at [DECEA3]{poi.name}[-], you’ll have to unload the bomb and carry it to the spot. Be careful, don’t make any sudden moves or get hit by zombies, or the bomb might blow up in your face. [DECEA3]I recommend you to find the spot location first before grabbing the bomb.[-]",,,,,,,,,,,,,這一次，我們的做法略有不同。我們有一些新的東西。沒什麼奇特的，只是與炸藥混合的高反應性化合物。你需要駕駛一輛裝滿炸彈的卡車。一旦你到達 [DECEA3] {poi.name} [-] ，你就必須卸下炸彈並將其帶到該地點。小心，不要做出任何突然的動作或被殭屍擊中，否則炸彈可能會在你的臉上爆炸。 [DECEA3]我建議你先找地點再拿炸彈。 [-]
ZombieINC_challenge_tier5_NestDemolition_offer,Quests,Quest Info,,x,"This time, we’re doing things a little differently. We’ve got something new up our sleeve. Nothing fancy, just highly reactive chemical compounds mixed with explosives. You’ll need to drive a truck loaded with bombs. Once you arrive at [DECEA3]{poi.name}[-], you’ll have to unload the bomb and carry it to the spot. [DECEA3]Be careful, don’t make any sudden moves or get hit by zombies while carrying the bomb[-], or it might blow up in your face. [DECEA3]I recommend you to find the spot location first before grabbing the bomb.[-]",,,,,,,,,,,,,這一次，我們的做法略有不同。我們有一些新的東西。沒什麼奇特的，只是與炸藥混合的高反應性化合物。你需要駕駛一輛裝滿炸彈的卡車。一旦你到達 [DECEA3] {poi.name} [-] ，你就必須卸下炸彈並將其帶到該地點。 [DECEA3]小心，攜帶炸彈時不要做出任何突然的動作或被殭屍擊中[-]，否則它可能會在你的臉上爆炸。 [DECEA3]我建議你先找地點再拿炸彈。 [-]
ZombieINC_challenge_tier5_NestDemolition_completion,Quests,Quest Info,,x,How was it breaking in that new beauty? I hope the nest is completely destroyed. Here's your reward.,,,,,,,,,,,,,它是如何打破這種新的美感的？我希望巢穴被徹底摧毀。這是你的獎勵。
ZombieINC_challenge_tier5_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,,拆除巢穴 ( [DECEA3] {poi.distance} {poi.direction} [-] )
ZombieINC_challenge_tier5_NestDemolition_statement,Quests,Quest Info,,x,Just don't forget to bring back the truck,,,,,,,,,,,,,只是別忘了把卡車帶回來
ZombieINC_challenge_tier6_NestDemolition_name,Quests,Quest Info,,x,Tier 6 Nest Demolition,,,,,,,,,,,,,6 級巢穴拆除
ZombieINC_challenge_tier6_NestDemolition_subtitle,Quests,Quest Info,,x,Deep Into The Nest,,,,,,,,,,,,,深入巢穴
ZombieINC_challenge_tier6_NestDemolition_description,Quests,Quest Info,,x,"You’ve done this before, but this time we’re loading the truck with two massive bombs instead of one. Drive the truck to the [DECEA3]{poi.name}[-] and unload the bombs. Clear the entire area, find the spots, and destroy everything. [DECEA3]Be careful with sudden movements or getting hits by zombies while with the bomb on your back[-], or the bomb might blow up right behind you.[DECEA3] Just like last time, I recommend scouting the area first before grabbing the bombs.[-]",,,,,,,,,,,,,您以前已經這樣做過，但這次我們在卡車上裝載兩枚巨型炸彈，而不是一枚。將卡車開到[DECEA3] {poi.name} [-] 並卸下炸彈。清理整個區域，找到地點，並摧毀一切。 [DECEA3]背著炸彈時要小心突然移動或被殭屍擊中[-]，否則炸彈可能會在你身後爆炸。 [DECEA3] 就像上次一樣，我建議先偵察該區域，然後再搶炸彈。 [-]
ZombieINC_challenge_tier6_NestDemolition_offer,Quests,Quest Info,,x,"You’ve done this before, but this time we’re loading the truck with two massive bombs instead of one. Drive the truck to the [DECEA3]{poi.name}[-] and unload the bombs. Clear the entire area, find the spots, and destroy everything. [DECEA3]Be careful with sudden movements or getting hits by zombies while with the bomb on your back[-], or the bomb might blow up right behind you.[DECEA3] Just like last time, I recommend scouting the area first before grabbing the bombs.[-]",,,,,,,,,,,,,您以前已經這樣做過，但這次我們在卡車上裝載兩枚巨型炸彈，而不是一枚。將卡車開到[DECEA3] {poi.name} [-] 並卸下炸彈。清理整個區域，找到地點，並摧毀一切。 [DECEA3]背著炸彈時要小心突然移動或被殭屍擊中[-]，否則炸彈可能會在你身後爆炸。 [DECEA3] 就像上次一樣，我建議先偵察該區域，然後再搶炸彈。 [-]
ZombieINC_challenge_tier6_NestDemolition_completion,Quests,Quest Info,,x,"I thought I wouldn't see you alive again, but it's good to see you well! Here's your reward.",,,,,,,,,,,,,我以為我再也見不到你活著了，但很高興看到你安然無恙！這是你的獎勵。
ZombieINC_challenge_tier6_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,,拆除巢穴 ( [DECEA3] {poi.distance} {poi.direction} [-] )
ZombieINC_challenge_tier6_NestDemolition_statement,Quests,Quest Info,,x,"If you do not bring back that truck, you will not receive the reward...",,,,,,,,,,,,,如果您不帶回那輛卡車，您將不會收到獎勵...
ZombieINC_WorkAround_NestDemolition_Reward_name,Quest,Quest Info,,X,Nest Demolition Quest Completed,,,,,,,,,,,,,巢穴拆除任務已完成
ZombieINC_WorkAround_NestDemolition_Reward_subtitle,Quest,Quest Info,,X,Nest Demolition Quest Completed,,,,,,,,,,,,,巢穴拆除任務已完成
ZombieINC_WorkAround_NestDemolition_Reward_desc,Quest,Quest Info,,X,Nest Demolition Quest Completed,,,,,,,,,,,,,巢穴拆除任務已完成
difficulty_very easy,Quests,Quests,,x,Very Easy,,,,,,,,,,,,,非常簡單
difficulty_easy,Quests,Quests,,x,Easy,,,,,,,,,,,,,簡單
difficulty_medium,Quests,Quests,,x,Medium,,,,,,,,,,,,,中等
difficulty_Hard,Quests,Quests,,x,Hard,,,,,,,,,,,,,硬
difficulty_hard,Quests,Quests,,x,Hard,,,,,,,,,,,,,硬
difficulty_very Hard,Quests,Quests,,x,Very Hard,,,,,,,,,,,,,非常難
difficulty_very hard,Quests,Quests,,x,Very Hard,,,,,,,,,,,,,非常難
difficulty_insane,Quests,Quests,,x,Insane,,,,,,,,,,,,,瘋狂
difficulty_Insane,Quests,Quests,,x,Insane,,,,,,,,,,,,,瘋狂
difficulty_Ridiculous,Quests,Quests,,x,Ridiculous,,,,,,,,,,,,,簡單
difficulty_ridiculous,Quests,Quests,,x,Ridiculous,,,,,,,,,,,,,簡單
ZombieINC_challenge_tier1_Survival_name,Quests,Quest Info,,x,Tier 1 Survival,,,,,,,,,,,,,1 級生存
ZombieINC_challenge_tier1_Survival_subtitle,Quests,Quest Info,,x,Just Run,,,,,,,,,,,,,就跑
ZombieINC_challenge_tier1_Survival_description,Quests,Quest Info,,x,"I just have to do one thing: survive! Now, why am I doing this? Apparently, a group of scouts is searching for something in another part of the city. Actually, my role is to be a bait, making the way easier for them.",,,,,,,,,,,,,我只需要做一件事：生存！現在，我為什麼要這樣做？顯然，一群偵察兵正在城市的另一個地方尋找什麼。其實我的作用就是當誘餌，讓他們好一點。
ZombieINC_challenge_tier1_Survival_offer,Quests,Quest Info,,x,The mission consists of only one thing: Survive!\n\nYou have been assigned to [DECEA3]{poi.name}[-]. You don't need to kill the zombies if you don't want to; you just need to attract their attention as much as possible while our scouts are on a secret mission.,,,,,,,,,,,,,任務只有一件事：生存！ \n \n 您已被指派到 [DECEA3] {poi.name} [-] 。如果你不想的話，你可以不殺殭屍；你只需要在我們的偵察兵執行秘密任務時盡可能吸引他們的注意力。
ZombieINC_challenge_tier1_Survival_completion,Quests,Quest Info,,x,Here's your reward. It seems like the scouts didn't accomplish much this time...,,,,,,,,,,,,,這是你的獎勵。看來這次偵察兵並沒有取得多大成果…
ZombieINC_challenge_tier1_Survival_response,Quests,Quest Info,,x,Survival ([DECEA3]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,,生存 ( [DECEA3] {poi.distance} {poi.direction} [-] )
ZombieINC_challenge_tier1_Survival_statement,Quests,Quest Info,,x,Do you want more details about the secret mission!? You're a complete stranger!,,,,,,,,,,,,,您想了解更多關於秘密任務的詳細資訊嗎？你完全是個陌生人！
ZombieINC_challenge_tier2_Survival_name,Quests,Quest Info,,x,Tier 2 Survival,,,,,,,,,,,,,2 級生存
ZombieINC_challenge_tier2_Survival_subtitle,Quests,Quest Info,,x,Keep Running,,,,,,,,,,,,,繼續奔跑
ZombieINC_challenge_tier2_Survival_description,Quests,Quest Info,,x,"Again, the same mission as before, SURVIVE. But this time, I managed to overhear some conversations, and it seems to be related to the appearance of strange zombies throughout the city.",,,,,,,,,,,,,再次，與之前相同的任務，生存。但這一次，我卻無意中聽到了一些對話，似乎與整個城市中出現的奇怪殭屍有關。
ZombieINC_challenge_tier2_Survival_offer,Quests,Quest Info,,x,The mission consists of only one thing: Survive!\n\nYou have been assigned to [DECEA3]{poi.name}[-]. You don't need to kill the zombies if you don't want to; you just need to attract their attention as much as possible while our scouts are on a secret mission.,,,,,,,,,,,,,任務只有一件事：生存！ \n \n 您已被指派到 [DECEA3] {poi.name} [-] 。如果你不想的話，你可以不殺殭屍；你只需要在我們的偵察兵執行秘密任務時盡可能吸引他們的注意力。
ZombieINC_challenge_tier2_Survival_completion,Quests,Quest Info,,x,"Again, nothing productive. But a deal is a deal; here's your reward!",,,,,,,,,,,,,再說一次，沒有任何成果。但交易就是交易；這是你的獎勵！
ZombieINC_challenge_tier2_Survival_response,Quests,Quest Info,,x,Survival ([DECEA3]{poi.distance}{poi.direction}[-]),,,,,,,,,,,,,生存 ( [DECEA3] {poi.distance}{poi.direction} [-] )
ZombieINC_challenge_tier2_Survival_statement,Quests,Quest Info,,x,We still don't trust you enough to give you more details about the secret mission!,,,,,,,,,,,,,我們仍然不夠信任你，無法提供你更多關於秘密任務的細節！
ZombieINC_challenge_tier3_Survival_name,Quests,Quest Info,,x,Tier 3 Survival,,,,,,,,,,,,,第 3 級生存
ZombieINC_challenge_tier3_Survival_subtitle,Quests,Quest Info,,x,Don't Stop Running,,,,,,,,,,,,,不要停止奔跑
ZombieINC_challenge_tier3_Survival_description,Quests,Quest Info,,x,"Well, I'm getting used to this, and I don't think that's a good sign. I managed to hear a few more snippets, and it seems like they're discussing how the zombies are behaving very differently from their usual selves, as if someone or a group is behind it.",,,,,,,,,,,,,好吧，我已經習慣了，我不認為這是一個好兆頭。我設法聽到了更多的片段，看起來他們正在討論殭屍的行為與平時非常不同，就好像有人或一群人在背後支持一樣。
ZombieINC_challenge_tier3_Survival_offer,Quests,Quest Info,,x,The mission consists of only one thing: Survive!\n\nYou have been assigned to [DECEA3]{poi.name}[-]. You don't need to kill the zombies if you don't want to; you just need to attract their attention as much as possible while our scouts are on a secret mission.,,,,,,,,,,,,,任務只有一件事：生存！ \n \n 您已被指派到 [DECEA3] {poi.name} [-] 。如果你不想的話，你可以不殺殭屍；你只需要在我們的偵察兵執行秘密任務時盡可能吸引他們的注意力。
ZombieINC_challenge_tier3_Survival_completion,Quests,Quest Info,,x,"It seems like today we got some piece of information. But it's still not the time for you to know. Take it, here's your reward!",,,,,,,,,,,,,看來今天我們得到了一些資訊。但現在還不是你知道的時候。拿走吧，這是你的獎勵！
ZombieINC_challenge_tier3_Survival_response,Quests,Quest Info,,x,Survival ([DECEA3]{poi.distance}{poi.direction}[-]),,,,,,,,,,,,,生存 ( [DECEA3] {poi.distance}{poi.direction} [-] )
ZombieINC_challenge_tier3_Survival_statement,Quests,Quest Info,,x,"We can't give you all the details of the secret mission, but things are going well!",,,,,,,,,,,,,我們無法向您提供秘密任務的所有細節，但一切進展順利！
ZombieINC_challenge_tier4_Survival_name,Quests,Quest Info,,x,Tier 4 Survival,,,,,,,,,,,,,第 4 級生存
ZombieINC_challenge_tier4_Survival_subtitle,Quests,Quest Info,,x,Run Faster,,,,,,,,,,,,,跑得更快
ZombieINC_challenge_tier4_Survival_description,Quests,Quest Info,,x,"The missions are getting tougher, I don't know if I can keep up. This time, they revealed more information about what's happening. Apparently, they observed some people interacting with zombies in very suspicious ways. I remember seeing something like this when I was a child, and the world was still normal, in a TV series. I think the name was 'The Running Deads.'",,,,,,,,,,,,,任務越來越艱鉅，我不知道我是否能跟得上。這一次，他們透露了更多有關正在發生的事情的資訊。顯然，他們觀察到有些人以非常可疑的方式與殭屍互動。我記得小時候在電視劇裡看過這樣的事情，世界還很正常。我認為這個名字是“行屍走肉”。
ZombieINC_challenge_tier4_Survival_offer,Quests,Quest Info,,x,The mission consists of only one thing: Survive!\n\nYou have been assigned to [DECEA3]{poi.name}[-]. You don't need to kill the zombies if you don't want to; you just need to attract their attention as much as possible while our scouts are on a mission.,,,,,,,,,,,,,任務只有一件事：生存！ \n \n 您已被指派到 [DECEA3] {poi.name} [-] 。如果你不想的話，你可以不殺殭屍；你只需要在我們的偵察兵執行任務時盡可能吸引他們的注意力。
ZombieINC_challenge_tier4_Survival_completion,Quests,Quest Info,,x,"We haven't gathered all the information yet, but things might be about to change. Take your reward!",,,,,,,,,,,,,我們尚未收集所有信息，但情況可能即將發生變化。拿走你的獎勵吧！
ZombieINC_challenge_tier4_Survival_response,Quests,Quest Info,,x,Survival ([DECEA3]{poi.distance}{poi.direction}[-]),,,,,,,,,,,,,生存 ( [DECEA3] {poi.distance}{poi.direction} [-] )
ZombieINC_challenge_tier4_Survival_statement,Quests,Quest Info,,x,Your help has been essential in the scouts' mission.,,,,,,,,,,,,,您的幫助對於偵察兵的任務至關重要。
ZombieINC_challenge_tier5_Survival_name,Quests,Quest Info,,x,Tier 5 Survival,,,,,,,,,,,,,5 級生存
ZombieINC_challenge_tier5_Survival_subtitle,Quests,Quest Info,,x,Running at the Limit,,,,,,,,,,,,,極限跑步
ZombieINC_challenge_tier5_Survival_description,Quests,Quest Info,,x,"Last time I almost died, I'm already at my limit. Well, it's almost certain that there's another group in the city vying for power. The Network of Traders is quite extensive, and it seems that there are real wars happening in other places. Humans against humans, who would have thought...",,,,,,,,,,,,,上次差點死掉的時候，我已經到了極限了。嗯，幾乎可以肯定，城裡還有另一個團體在爭奪權力。交易者網絡相當廣泛，其他地方似乎也正在發生真正的戰爭。人類對抗人類，誰會想到…
ZombieINC_challenge_tier5_Survival_offer,Quests,Quest Info,,x,The mission consists of only one thing: Survive!\n\nYou have been assigned to [DECEA3]{poi.name}[-]. You don't need to kill the zombies if you don't want to; you just need to attract their attention as much as possible while our scouts are on a mission. This one is very promising !,,,,,,,,,,,,,任務只有一件事：生存！ \n \n 您已被指派到 [DECEA3] {poi.name} [-] 。如果你不想的話，你可以不殺殭屍；你只需要在我們的偵察兵執行任務時盡可能吸引他們的注意力。這個非常有前途！
ZombieINC_challenge_tier5_Survival_completion,Quests,Quest Info,,x,"Things are rough out there; this time our scouts got into a skirmish with some zombies that the bandits left in an ambush. But fortunately, we still got valuable information. Take it, here's your reward! That phrase must be lingering in your mind, hahahahaha!",,,,,,,,,,,,,外面的事情很艱難；這次我們的偵察兵與土匪埋伏的一些殭屍發生了小規模衝突。但幸運的是，我們仍然獲得了有價值的資訊。拿走吧，這是你的獎勵！這句話一定在你腦海裡揮之不去，哈哈哈哈！
ZombieINC_challenge_tier5_Survival_response,Quests,Quest Info,,x,Survival ([DECEA3]{poi.distance}{poi.direction}[-]),,,,,,,,,,,,,生存 ( [DECEA3] {poi.distance}{poi.direction} [-] )
ZombieINC_challenge_tier5_Survival_statement,Quests,Quest Info,,x,Don't fail at any cost; this scout mission seems to be bringing significant results.,,,,,,,,,,,,,不惜一切代價不要失敗；這次偵察任務似乎取得了重大成果。
ZombieINC_challenge_tier6_Survival_name,Quests,Quest Info,,x,Tier 6 Survival,,,,,,,,,,,,,6 級生存
ZombieINC_challenge_tier6_Survival_subtitle,Quests,Quest Info,,x,The Fastest Runner,,,,,,,,,,,,,跑得最快的人
ZombieINC_challenge_tier6_Survival_description,Quests,Quest Info,,x,"They told me this is the last time I need to do this. I need to be the fastest to survive. Last time, we discovered the way they modify the zombies and control them remotely. This use of shocks to control the zombies for specific tasks is madness. A true Mad Max!",,,,,,,,,,,,,他們告訴我這是我最後一次需要這樣做。我需要成為最快的人才能生存。上次，我們發現了他們改造殭屍並遠端控制它們的方式。這種利用電擊來控制殭屍執行特定任務的做法是瘋狂的。真正的瘋狂麥斯！
ZombieINC_challenge_tier6_Survival_offer,Quests,Quest Info,,x,"The mission consists of only one thing: Survive!\n\nYou have been assigned to [DECEA3]{poi.name}[-]. You don't need to kill the zombies if you don't want to; you just need to attract their attention as much as possible while our scouts are on a mission. This should be the last one, stay prepared!",,,,,,,,,,,,,任務只有一件事：生存！ \n \n 您已被指派到 [DECEA3] {poi.name} [-] 。如果你不想的話，你可以不殺殭屍；你只需要在我們的偵察兵執行任務時盡可能吸引他們的注意力。這應該是最後一次了，做好準備吧！
ZombieINC_challenge_tier6_Survival_completion,Quests,Quest Info,,x,We managed to locate some of their abandoned bases. We concluded that they haven't fully settled in the city yet; they must be waiting for an [DECEA3]update[-] from their leaders on what to do. We have everything we need. Here's your share. You've done a great deal for our cause!,,,,,,,,,,,,,我們設法找到了他們的一些廢棄基地。我們得出的結論是，他們還沒有完全在這座城市定居；他們必須等待領導者關於下一步的[DECEA3]更新[-]。我們擁有我們所需要的一切。這是你的分享。你為我們的事業做出了很大的貢獻！
ZombieINC_challenge_tier6_Survival_response,Quests,Quest Info,,x,Survival ([DECEA3]{poi.distance}{poi.direction}[-]),,,,,,,,,,,,,生存 ( [DECEA3] {poi.distance}{poi.direction} [-] )
ZombieINC_challenge_tier6_Survival_statement,Quests,Quest Info,,x,It's been a good journey with you so far. Now everything will become clear!,,,,,,,,,,,,,到目前為止，與您一起度過了一段愉快的旅程。現在一切都將變得清晰！
ZombieINC_Survival_Message_MissionWillFail,buffs,,,x,"| [FF6600]Player's Mind:[-] There are no zombies seeing you from the city, move yourself or the mission will fail!",,,,,,,,,,,,,| [FF6600]玩家的想法：[-]沒有殭屍從城市裡看到你，移動自己，否則任務會失敗！
ZombieINC_Survival_VehicleBlockerEvent_Chat,gameevents,,,X,| [FF6600]Player's Mind:[-] I can't drive a vehicle. The mission will fail if I insist,,,,,,,,,,,,,| [FF6600]玩家的想法：[-]我不會開車。如果我堅持的話任務就會失敗
ZombieINC_Survival_VehicleBlockerEvent_BeltTooltip,gameevents,,,X,You can't Drive a vehicle,,,,,,,,,,,,,你不能駕駛車輛
ZombieINC_WorkAround_Survival_Reward_name,Quest,Quest Info,,X,Survival Quest Completed,,,,,,,,,,,,,生存任務已完成
ZombieINC_WorkAround_Survival_Reward_subtitle,Quest,Quest Info,,X,Survival Quest Completed,,,,,,,,,,,,,生存任務已完成
ZombieINC_WorkAround_Survival_Reward_desc,Quest,Quest Info,,X,Survival Quest Completed,,,,,,,,,,,,,生存任務已完成
ZombieINC_KillBossWitch_key,Quest,Quest Info,,X,the Witch Zombie,,,,,,,,,,,,,女巫殭屍
ZombieINC_KillBossWitchInfested_key,Quest,Quest Info,,X,the Mother,,,,,,,,,,,,,母親
ZombieINC_BossWitch,entityclasses,Entity,,x,The Witch Boss,,,,,,,,,,,,,女巫老大
ZombieINC_BossWitchInfested,entityclasses,Entity,,x,The Mother,,,,,,,,,,,,,母親
ZombieINC_BossWitchMinionInfested,entityclasses,Entity,,x,Lower Clergy Witch,,,,,,,,,,,,,下級神職女巫
ZombieINC_KillMiniBossBoneKnife_key,Quest,Quest Info,,X,the Lower Priest,,,,,,,,,,,,,下級祭司
ZombieINC_challenge_BoneKnife_description,Quests,Quest Info,,x,"[Signature Weapon Mission] There's a myth circulating among our crew, claiming that there's an excellent knife buried somewhere in this region. The catch is, one of our scouts has reliable information about its location. People say the knife is cursed with black magic—can you believe it? Well, you paid a hell of a lot of money for this piece of information, so it better be a damn sharp knife at the very least.",,,,,,,,,,,,,[Signature Weapon Mission][標誌性武器任務] 我們的船員中流傳著一個神話，聲稱這個地區的某個地方埋著一把很棒的刀。問題是，我們的一名偵察兵擁有有關其位置的可靠資訊。人們說這把刀被黑魔法詛咒了──你相信嗎？好吧，你為這條訊息付出了很多錢，所以它至少最好是一把該死的鋒利的刀。
ZombieINC_challenge_BoneKnife_offer,Quests,Quest Info,,x,"[Signature Weapon Mission] There's a myth circulating among our crew, claiming that there's an excellent knife buried somewhere in this region. The catch is, one of our scouts has reliable information about its location. People say the knife is cursed with black magic—can you believe it? Well, you paid a hell of a lot of money for this piece of information, so it better be a damn sharp knife at the very least.",,,,,,,,,,,,,[Signature Weapon Mission][標誌性武器任務] 我們的船員中流傳著一個神話，聲稱這個地區的某個地方埋著一把很棒的刀。問題是，我們的一名偵察兵擁有有關其位置的可靠資訊。人們說這把刀被黑魔法詛咒了──你相信嗎？好吧，你為這條訊息付出了很多錢，所以它至少最好是一把該死的鋒利的刀。
ZombieINC_challenge_BoneKnife_completion,Quests,Quest Info,,x,"What you are telling me is BULLSHIT! Cultists?! Witches!? Intense fog!? The weather was normal the entire time. In the end, it was just a bone knife. What a waste of time and money.",,,,,,,,,,,,,你告訴我的都是廢話！邪教徒？ ！魔女！ ？濃霧！ ？天氣一直正常。最終只是一把骨刀。真是浪費時間和金錢。
ZombieINC_challenge_BoneKnife_response,Quests,Quest Info,,x,PlaceHolder,,,,,,,,,,,,,佔位符
ZombieINC_challenge_BoneKnife_statement,Quests,Quest Info,,x,PlaceHolder,,,,,,,,,,,,,佔位符
ZombieINC_Quest_BoneKnife,items,item,,x,[Experimental Weapon] Bone Knife,,,,,,,,,,,,,[Experimental Weapon]【實驗武器】骨刀
